ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
155188	Streptococcus mitis	CCUG 56850	Human nasopharynx,26-yr-old woman,ear pain	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Oral cavity and airways###Human	Throat###Female	Infection@@@Patient###Host Body-Site@@@Oral cavity and airways###Host@@@Human
155189	Chryseobacterium sp.	CCUG 56852	Human lens,60-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Organ###Human	Eye###Male	Infection@@@Patient###Host Body-Site@@@Organ###Host@@@Human
155190	Enterococcus faecium	CCUG 56858	Human feces,66-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Gastrointestinal tract###Human	Feces (Stool)###Female	Infection@@@Patient###Host Body Product@@@Gastrointestinal tract###Host@@@Human
155191	Actinomyces graevenitzii	CCUG 56860	Human bronchus,54-yr-old woman,immunodeficiency	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Oral cavity and airways###Human	Lung###Female	Infection@@@Patient###Host Body-Site@@@Oral cavity and airways###Host@@@Human
155192	Haemophilus intermedius subsp. gazogenes	CCUG 56864	Human throat,26-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Oral cavity and airways###Human	Throat###Male	Infection@@@Patient###Host Body-Site@@@Oral cavity and airways###Host@@@Human
155193	Prevotella bivia	CCUG 56865	Human wound,57-yr-old man,Achilles' tendon	Sweden	Europe	Infection###Host Body-Site###Host Body-Site###Host	Patient###Limb###Other###Human	Leg###Wound###Male	Infection@@@Patient###Host Body-Site@@@Other###Host Body-Site@@@Limb###Host@@@Human
155194	Escherichia coli	CCUG 56866	Environment,industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155195	Escherichia coli	CCUG 56867	Environment,industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155196	Brucella sp.	CCUG 56872	Human blood,52-yr-old man,fever during 4 weeks			Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155197	Vibrio cholerae	CCUG 56875	Human urine,63-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Urine###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155198	Enterobacter hormaechei	CCUG 56876	Human urine,76-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Urine###Female	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
